sampling_date,depth,CSC_flag,salinity,temperature,HCO3,CO3,pH_insi,ta,dic,OmegaCalcite,OmegaAragonite,pCO2,fCO2
2021-08-24,50,NA,NA,NA,NA,NA,NA,2543.0085,2270.15394,NA,NA,NA,NA
2021-08-31,1,NA,NA,NA,NA,NA,NA,2560.8620699999997,2249.69985,NA,NA,NA,NA
2021-08-31,50,NA,NA,NA,NA,NA,NA,2549.45979,2272.20435,NA,NA,NA,NA
2021-09-07,1,15,38.1947,24.1715,0.00200827359340764,2.294523577845818e-4,8.009710204060411,2570.76405,2251.55022,5.37117562998731,3.5441673062952384,486.3647976054654,484.79690147004646
2021-09-07,50,15,38.0737,15.5867,0.00205481844097641,2.0175463747979736e-4,8.094456821281604,2554.11072,2270.85408,4.667041263725616,3.0123617850026307,396.1641391319439,394.74352552076306
2021-09-14,1,15,38.2668,24.3618,0.00202257013132049,2.2181381263885303e-4,8.008331566103807,2566.46319,2258.9517,5.190084733413544,3.4267878876787536,515.2015466155266,513.5444845238609
2021-09-14,50,15,38.0766,15.255,0.0020466687179653,1.9872015468736456e-4,8.103144162645346,2539.20774,2259.7018500000004,4.596482596798484,2.964641877963223,393.1387007313454,391.72301398484507
2021-09-21,1,15,38.1874,23.1732,0.00198329870385572,2.2417973444314096e-4,8.030521975193427,2534.75685,2221.0441199999996,5.243155131905852,3.4494393878764447,465.15730279712506,463.639399397552
2021-09-28,1,15,38.1887,23.3173,0.0020045451755673,2.2378679001275225e-4,8.02572721953717,2554.16073,2242.24836,5.234578292598722,3.4452545051905332,478.9714983469969,477.41124721940304
2021-09-28,50,15,38.0476,15.6394,0.00204075596412849,2.0390211070136092e-4,8.095239672115822,2545.60902,2258.60163,4.717686689066944,3.045367569172018,387.3547713641583,385.96668575063825
2021-10-05,1,15,38.1947,22.9681,0.00199223141582364,2.245976575967339e-4,8.03477036561016,2544.4587899999997,2230.446,5.251664410386043,3.45298597176587,464.4492591402633,462.9298537963031
2021-10-05,50,15,37.9994,17.4247,0.00199910866292083,2.161207911621832e-4,8.09883646977016,2533.6066199999996,2228.19555,5.004876974095637,3.2440891281888797,379.45493131230455,378.12538654457023
2021-10-12,1,15,38.0161,21.8859,0.00199217000706039,2.2782974456082955e-4,8.050138085109353,2552.26035,2233.1465399999997,5.330623207348625,3.493705421534693,435.4092699022528,433.96585013616055
2021-10-12,50,15,38.0069,16.8479,0.00201811873699189,2.0732596537622531e-4,8.083980804332828,2531.25615,2239.0977299999995,4.79992367832157,3.1069898049799347,392.9461389301121,391.5592942504925
2021-10-19,1,15,38.1665,20.8181,0.0019944760806676,2.2747432601562712e-4,8.063653190626479,2554.41078,2234.9469,5.311794772634763,3.471410995707048,418.6032052623429,417.197120923768
2021-10-19,50,15,38.0646,16.3939,0.00202217202655736,2.0906616062641464e-4,8.104204170385447,2539.65783,2244.7488599999997,4.837418075701878,3.128047728509205,383.8385409593134,382.4760921135539
2021-10-25,1,15,38.186,20.199,0.00199953612449118,2.2291102657853108e-4,8.075547736718605,2548.80966,2235.64704,5.202551118218985,3.394396762040746,418.0812124499311,416.66607594531473
2021-10-25,50,15,38.186,19.908,0.00199815217135442,2.2065886136581625e-4,8.07626538833665,2542.45839,2232.0463200000004,5.109009264927171,3.332711684561589,415.8614823110464,414.4487722375397
2021-11-03,1,15,38.093,19.116,0.00201394567496916,2.1438928379564185e-4,8.087374509387937,2542.8084599999997,2241.99831,5.004778734375613,3.2559709779928543,419.75941773879936,418.31934932949395
2021-11-03,50,15,38.085,16.153,0.00204674745640239,1.9528620160452108e-4,8.071020318910401,2530.55601,2256.80127,4.517590543544649,2.919650636083955,416.6293290414354,415.1459377404444
2021-11-09,1,15,38.151,18.515,0.00198400254594636,2.2326885019570663e-4,8.096091019448506,2535.60702,2219.8938900000003,5.208438029524341,3.3834124680333497,381.40268957109726,380.0844257670302
2021-11-09,50,15,38.152,18.512,0.00200073994950384,2.2122062673179276e-4,8.092543194146028,2546.95929,2234.89689,5.119354620650662,3.327440855427378,390.85409351602834,389.50309741695173
