"datetime";"hour";"depth";"T";"S";"Month";"Year";"year.month"
1996-09-04;07:00:00;50;15.921;37.954;"09";"1996";"1996-09"
1996-09-04;07:00:00;0;23.13;37.953;"09";"1996";"1996-09"
1996-09-11;07:00:00;50;15.671;37.92;"09";"1996";"1996-09"
1996-09-11;07:00:00;0;22.131;38.041;"09";"1996";"1996-09"
1996-09-18;07:00:00;50;15.579;37.963;"09";"1996";"1996-09"
1996-09-18;07:00:00;0;21.677;38.09;"09";"1996";"1996-09"
1996-09-25;07:00:00;50;17.436;37.933;"09";"1996";"1996-09"
1996-09-25;07:00:00;0;21.164;38.095;"09";"1996";"1996-09"
1996-10-03;07:00:00;50;16.001;37.938;"10";"1996";"1996-10"
1996-10-03;07:00:00;0;21.004;38.048;"10";"1996";"1996-10"
1996-10-10;07:00:00;50;20.006;38.061;"10";"1996";"1996-10"
1996-10-10;07:00:00;0;20.161;38.029;"10";"1996";"1996-10"
1996-10-16;07:00:00;50;19.579;38.019;"10";"1996";"1996-10"
1996-10-16;07:00:00;0;19.596;37.987;"10";"1996";"1996-10"
1996-10-23;07:00:00;50;19.424;37.982;"10";"1996";"1996-10"
1996-10-23;07:00:00;0;19.546;37.973;"10";"1996";"1996-10"
1996-10-30;08:00:00;50;18.664;38.013;"10";"1996";"1996-10"
1996-10-30;08:00:00;0;19.039;37.996;"10";"1996";"1996-10"
1996-11-06;08:00:00;50;18.296;37.97;"11";"1996";"1996-11"
1996-11-06;08:00:00;0;18.69;37.982;"11";"1996";"1996-11"
1996-11-14;08:00:00;50;17.895;37.954;"11";"1996";"1996-11"
1996-11-14;08:00:00;0;17.821;37.803;"11";"1996";"1996-11"
1996-11-22;08:00:00;50;16.235;38.012;"11";"1996";"1996-11"
1996-11-22;08:00:00;0;16.723;37.951;"11";"1996";"1996-11"
1996-11-27;08:00:00;50;16.161;37.943;"11";"1996";"1996-11"
1996-11-27;08:00:00;0;16.185;37.945;"11";"1996";"1996-11"
1996-12-04;08:00:00;50;15.789;37.965;"12";"1996";"1996-12"
1996-12-04;08:00:00;0;15.791;37.966;"12";"1996";"1996-12"
1996-12-11;08:00:00;50;15.333;37.963;"12";"1996";"1996-12"
1996-12-11;08:00:00;0;15.335;37.573;"12";"1996";"1996-12"
1996-12-18;08:00:00;50;14.691;37.906;"12";"1996";"1996-12"
1996-12-18;08:00:00;0;14.424;37.731;"12";"1996";"1996-12"
1996-12-23;08:00:00;50;14.763;37.925;"12";"1996";"1996-12"
1996-12-23;08:00:00;0;14.582;37.772;"12";"1996";"1996-12"
1997-01-02;08:00:00;50;13.856;37.924;"01";"1997";"1997-01"
1997-01-02;08:00:00;0;13.82;37.884;"01";"1997";"1997-01"
1997-01-09;08:00:00;50;13.712;37.911;"01";"1997";"1997-01"
1997-01-09;08:00:00;0;13.041;37.572;"01";"1997";"1997-01"
1997-01-15;08:00:00;50;13.423;37.791;"01";"1997";"1997-01"
1997-01-15;08:00:00;0;13.151;37.654;"01";"1997";"1997-01"
1997-01-22;08:00:00;50;13.297;37.72;"01";"1997";"1997-01"
1997-01-22;08:00:00;0;13.138;37.607;"01";"1997";"1997-01"
1997-01-29;08:00:00;50;13.4;37.713;"01";"1997";"1997-01"
1997-01-29;08:00:00;0;13.31;37.659;"01";"1997";"1997-01"
1997-02-05;08:00:00;50;13.401;37.716;"02";"1997";"1997-02"
1997-02-05;08:00:00;0;13.267;37.658;"02";"1997";"1997-02"
1997-02-12;08:00:00;50;13.403;37.727;"02";"1997";"1997-02"
1997-02-12;08:00:00;0;13.31;37.684;"02";"1997";"1997-02"
1997-02-19;08:00:00;50;13.436;37.739;"02";"1997";"1997-02"
1997-02-19;08:00:00;0;13.433;37.729;"02";"1997";"1997-02"
1997-02-26;08:00:00;50;13.548;37.927;"02";"1997";"1997-02"
1997-02-26;08:00:00;0;13.637;37.669;"02";"1997";"1997-02"
1997-03-05;08:00:00;50;13.631;37.947;"03";"1997";"1997-03"
1997-03-05;08:00:00;0;13.83;37.704;"03";"1997";"1997-03"
1997-03-12;08:00:00;50;13.802;37.875;"03";"1997";"1997-03"
1997-03-12;08:00:00;0;13.916;37.83;"03";"1997";"1997-03"
1997-03-20;08:00:00;50;13.832;37.876;"03";"1997";"1997-03"
1997-03-20;08:00:00;0;14.177;37.808;"03";"1997";"1997-03"
1997-03-26;08:00:00;50;13.986;37.858;"03";"1997";"1997-03"
1997-03-26;08:00:00;0;14.209;37.839;"03";"1997";"1997-03"
1997-04-02;07:00:00;50;14.056;37.859;"04";"1997";"1997-04"
1997-04-02;07:00:00;0;14.655;37.805;"04";"1997";"1997-04"
1997-04-09;07:00:00;50;14.181;37.865;"04";"1997";"1997-04"
1997-04-09;07:00:00;0;14.441;37.836;"04";"1997";"1997-04"
1997-04-16;07:00:00;50;14.286;37.873;"04";"1997";"1997-04"
1997-04-16;07:00:00;0;15.077;37.772;"04";"1997";"1997-04"
1997-04-23;07:00:00;50;14.64;37.886;"04";"1997";"1997-04"
1997-04-23;07:00:00;0;15.251;37.884;"04";"1997";"1997-04"
1997-04-30;07:00:00;50;14.585;37.922;"04";"1997";"1997-04"
1997-04-30;07:00:00;0;15.708;37.915;"04";"1997";"1997-04"
1997-05-14;07:00:00;50;14.971;37.864;"05";"1997";"1997-05"
1997-05-14;07:00:00;0;15.293;37.889;"05";"1997";"1997-05"
1997-05-21;07:00:00;50;15.117;37.836;"05";"1997";"1997-05"
1997-05-21;07:00:00;0;17.367;37.772;"05";"1997";"1997-05"
1997-05-28;07:00:00;50;14.94;37.939;"05";"1997";"1997-05"
1997-05-28;07:00:00;0;19.915;37.801;"05";"1997";"1997-05"
1997-06-04;07:00:00;50;17.028;37.864;"06";"1997";"1997-06"
1997-06-04;07:00:00;0;18.956;37.802;"06";"1997";"1997-06"
1997-06-11;07:00:00;50;16.055;37.918;"06";"1997";"1997-06"
1997-06-11;07:00:00;0;21.535;37.33;"06";"1997";"1997-06"
1997-06-18;07:00:00;50;16.204;37.901;"06";"1997";"1997-06"
1997-06-18;07:00:00;0;23.022;37.578;"06";"1997";"1997-06"
1997-06-25;07:00:00;50;15.486;37.894;"06";"1997";"1997-06"
1997-06-25;07:00:00;0;19.587;37.832;"06";"1997";"1997-06"
1997-07-02;07:00:00;50;14.644;37.946;"07";"1997";"1997-07"
1997-07-02;07:00:00;0;16.828;37.821;"07";"1997";"1997-07"
1997-07-08;07:00:00;50;15.953;37.892;"07";"1997";"1997-07"
1997-07-08;07:00:00;0;21.077;37.914;"07";"1997";"1997-07"
1997-07-16;07:00:00;50;15.477;37.918;"07";"1997";"1997-07"
1997-07-16;07:00:00;0;23.672;37.868;"07";"1997";"1997-07"
1997-07-23;07:00:00;50;15.625;37.907;"07";"1997";"1997-07"
1997-07-23;07:00:00;0;24.558;37.789;"07";"1997";"1997-07"
1997-07-30;07:00:00;50;15.29;37.927;"07";"1997";"1997-07"
