"datetime";"depth";"temperature";"salinity";"ta";"dic";"NO2";"NO3";"Chla";"pH_s_somlit_temp_25";"pH_s_somlit_temp_insi";"diff_pH";"pH_insi";"Pt";"Sit";"quarter";"monthd";"week";"Patm";"P";"pH_calc";"CO2";"fCO2";"pCO2_w";"fCO2pot";"pCO2pot";"fCO2insitu";"pCO2insitu";"HCO3";"CO3";"OmegaAragonite";"OmegaCalcite";"pH_18";"Nta";"Ndic";"Year.Month";"Year";"Month";"impute_temp";"impute_sal";"impute_pco2_w";"impute_ta";"impute_dic";"impute_Pt";"impute_Sit"
2019-02-12;50;13.742;38.0621;2569.76385;2281.20615;0.209;0.391;0.456;7.94907347147247;8.12717699913992;NA;8.12717699913992;0.0573588794752698;2.78044737795376;1;2;7;1;5;8.11567256125664;1.38009783826571e-05;360.677807071515;362.006627808157;360.596575573991;361.925220919854;363.128056961391;371.140205419349;0.00206276371103988;0.00020464146057745;3.04308834120934;4.73337785380117;8.04996439691967;2565.57116659354;2277.48426124675;"2019-02";2019;"02";13.742;38.0621;362.006627808157;2569.76385;2281.20615;0.0573588794752698;2.78044737795376
2019-02-19;50;13.7423;38.0712;2573.31456;2278.65564;0.257;0.631;0.323;7.94451775733138;8.12251050997421;NA;8.12251050997421;0.0456923563950574;3.51442273123686;1;2;8;1;5;8.12523681643807;1.34590309530866e-05;351.762574680441;353.058531912365;351.683344683011;352.979130852969;354.152256797374;361.966252851602;0.00205658239911514;0.00020861420993176;3.1019767570737;4.8249500481108;8.05946275017423;2568.50199836097;2274.39414360461;"2019-02";2019;"02";13.7423;38.0712;353.058531912365;2573.31456;2278.65564;0.0456923563950574;3.51442273123686
2019-02-26;50;13.8429;38.0711;2579.86587;2301.4602;NA;NA;0.327;7.95135591164522;8.12786579345165;NA;8.12786579345165;NA;NA;1;2;9;1;5;8.09558347539376;1.45890786576097e-05;382.481299754444;383.888667208737;382.394896089827;383.802077391708;385.078754156169;393.564384381831;0.00208816591773045;0.00019870520361194;2.95525294377118;4.59577573722006;8.03156838287282;2575.04781999995;2297.16208882853;"2019-02";2019;"02";13.8429;38.0711;383.888667208737;2579.86587;2301.4602;0.0427758651474527;2.79063854746083
2019-03-06;50;13.8608;38.1012;2559.96189;2289.50781;0.193;0.549;0.324;7.94339297519184;8.11943052017849;NA;8.11943052017849;0.039859373899848;2.0668543636848;1;3;10;1;5;8.08382062855678;1.49406749949808e-05;391.981495537589;393.423504880322;391.892878723831;393.334697220518;394.643299780864;403.337780442655;0.00208161587394472;0.00019295126106029;2.86920169028254;4.46172106206878;8.02018420766078;2553.162415357;2283.42668419892;"2019-03";2019;"03";13.8608;38.1012;393.423504880322;2559.96189;2289.50781;0.039859373899848;2.0668543636848
2019-03-12;50;13.7415;38.1217;2568.31356;2296.05912;NA;NA;0.436;7.94422335702237;8.12222915036066;NA;8.12222915036066;NA;NA;1;3;11;1;5;8.08753865556594;1.48860230316659e-05;389.159306223271;390.593113636191;389.071620298959;390.505238374038;391.803048632696;400.448220223278;0.0020868246792304;0.00019434841773792;2.88886500050066;4.49335781459924;8.02203043795641;2560.11445659559;2288.72916370466;"2019-03";2019;"03";13.7415;38.1217;390.593113636191;2568.31356;2296.05912;0.0359700875608185;1.57734258437546
2019-03-19;50;13.769;38.1227;2552.41038;2256.4512;0.239;0.381;0.44;7.94094789525578;8.11842605704295;NA;8.11842605704295;0.0320808012217891;1.08783080506612;1;3;12;1;5;8.12926829759365;1.31788938024406e-05;344.824812028624;346.094765986821;344.747052122097;346.016838302248;347.167144058048;354.824323587219;0.00203452661973464;0.00020874568646291;3.10302579611605;4.82618899082361;8.06390222082266;2544.19530725788;2249.18868810446;"2019-03";2019;"03";13.769;38.1227;346.094765986821;2552.41038;2256.4512;0.0320808012217891;1.08783080506612
2019-03-27;50;13.8166;38.1528;2568.91368;2271.70425;0.139;0.626;0.59007375;7.93910076202986;8.11576391807406;NA;8.11576391807406;0.0349967917541839;1.25696810383777;1;3;13;1;5;8.1280578817615;1.32875850102814e-05;348.238225821681;349.519975744492;348.159568035512;349.441148424426;350.603350843132;358.331603018046;0.00204832032656542;0.00021009633842429;3.12277422216086;4.85635408089688;8.06342288862351;2558.62531295213;2262.60619141976;"2019-03";2019;"03";13.8166;38.1528;349.519975744492;2568.91368;2271.70425;0.0349967917541839;1.25696810383777
2019-04-02;50;13.6381;38.2258;2561.11212;2281.75626;0.248;1.435;0.386501164;7.92061747666609;8.09973737314459;NA;8.09973737314459;0.0515183092020226;1.37835778204657;2;4;14;1;5;8.10104248523855;1.4338090055872e-05;373.859434936014;375.238671223066;373.775384390724;375.154438796098;376.400156933318;384.716409382617;0.00206905672682965;0.00019836144311447;2.94581767828198;4.58268296099578;8.03384510401979;2545.98361734745;2268.27791386969;"2019-04";2019;"04";13.6381;38.2258;375.238671223066;2561.11212;2281.75626;0.0515183092020226;1.37835778204657
2019-04-09;50;13.7296;38.1522;2572.11432;2290.15794;0.257;0.5;0.608980666;7.93314414728423;8.111080407547;NA;8.111080407547;0.0418009847008703;1.35318536520027;2;4;15;1;5;8.10350495500126;1.42759861866569e-05;373.138496729761;374.513462410773;373.054429919137;374.429214042653;375.673507742953;383.963903813838;0.00207538768066334;0.00020049427315;2.97953242888579;4.6344253826402;8.03769269160722;2561.85342286945;2281.02184723292;"2019-04";2019;"04";13.7296;38.1522;374.513462410773;2572.11432;2290.15794;0.0418009847008703;1.35318536520027
2019-04-16;50;14.0124;38.0709;2566.91328;2282.25636;0.052;0.146;NA;7.94403870636575;8.11761575726429;NA;8.11761575726429;0.0379170844230972;1.42529348113488;2;4;16;1;5;8.1052876886172;1.40648057461895e-05;370.663066450549;372.023980002487;370.578920579392;371.939653532554;373.178771664926;381.384115728352;0.00206593986030437;0.00020225169394943;3.00907191941831;4.67782488950579;8.04383394299112;2562.13287944335;2278.00608023451;"2019-04";2019;"04";14.0124;38.0709;372.023980002487;2566.91328;2282.25636;0.0379170844230972;1.42529348113488
