"datetime";"PROF_NUM";"T";"S";"O";"oxy_umol_kg";"year";"month";"year.month";"AOU";"OSAT";"neg_AOU";"mean_AOU"
2011-04-19 09:00:00;1;15.73;37.625;5.97;259.400735279775;2011;"04";"2011-04";-19.5737298056727;239.827005474102;19.5737298056727;-10.3368729174447
2011-04-26 09:00:00;1;15.843;37.777;5.87;255.033088357272;2011;"04";"2011-04";-15.982354366491;239.050733990781;15.982354366491;-10.3368729174447
2011-05-03 09:00:00;1;16.735;37.783;5.83;253.346018331385;2011;"05";"2011-05";-18.3866734350156;234.959344896369;18.3866734350156;-10.3368729174447
2011-05-10 09:00:00;1;17.866;37.802;5.77;250.802772227899;2011;"05";"2011-05";-20.8588712710857;229.943900956813;20.8588712710857;-10.3368729174447
2011-05-17 09:00:00;1;18.55;37.8;5.72;248.671676169606;2011;"05";"2011-05";-21.6415553652526;227.030120804353;21.6415553652526;-10.3368729174447
2011-05-24 09:00:00;1;20.268;37.698;5.82;253.149619703969;2011;"05";"2011-05";-32.9897289676398;220.159890736329;32.9897289676398;-10.3368729174447
2011-05-31 09:00:00;1;19.954;37.927;5.71;248.302287185944;2011;"05";"2011-05";-27.2271321789807;221.075155006963;27.2271321789807;-10.3368729174447
2011-06-07 09:00:00;1;20.38;37.775;5.42;235.744477973608;2011;"06";"2011-06";-16.1402193239631;219.604258649645;16.1402193239631;-10.3368729174447
2011-06-14 09:00:00;1;21.242;37.921;5.35;232.728222958898;2011;"06";"2011-06";-16.6850897238955;216.043133235002;16.6850897238955;-10.3368729174447
2011-06-21 09:00:00;1;21.68;37.908;5.32;231.453087440999;2011;"06";"2011-06";-17.0551660630562;214.397921377943;17.0551660630562;-10.3368729174447
2011-06-28 09:00:00;1;24.238;37.826;5.11;222.49210463426;2011;"06";"2011-06";-17.2231286026325;205.268976031627;17.2231286026325;-10.3368729174447
2011-07-05 09:00:00;1;24.498;37.838;5.03;219.023734598224;2011;"07";"2011-07";-14.6667995983146;204.356934999909;14.6667995983146;-10.3368729174447
2011-07-12 09:00:00;1;25.266;37.982;4.93;214.695902364864;2011;"07";"2011-07";-13.1283545680591;201.567547796805;13.1283545680591;-10.3368729174447
2011-07-19 09:00:00;1;20.264;38.012;5.38;233.956276956381;2011;"07";"2011-07";-14.2391576253886;219.717119330992;14.2391576253886;-10.3368729174447
2011-07-26 09:00:00;1;23.582;38.034;5.37666666666667;234.022100450039;2011;"07";"2011-07";-26.7376662890285;207.284434161011;26.7376662890285;-10.3368729174447
2011-08-02 09:00:00;1;23.82;37.994;5.37333333333333;233.900097944445;2011;"08";"2011-08";-27.3992042277982;206.500893716647;27.3992042277982;-10.3368729174447
2011-08-09 09:00:00;1;21.724;38.028;5.37;233.610424444189;2011;"08";"2011-08";-19.5472588660766;214.063165578112;19.5472588660766;-10.3368729174447
2011-08-16 09:00:00;1;24.181;38.112;4.95;215.476457094008;2011;"08";"2011-08";-10.3898390528929;205.086618041115;10.3898390528929;-10.3368729174447
2011-08-23 09:00:00;1;25.909;38.113;4.96;216.023820945833;2011;"08";"2011-08";-16.7504126601037;199.273408285729;16.7504126601037;-10.3368729174447
2011-08-30 09:00:00;1;24.461;38.192;4.94;215.046217838799;2011;"08";"2011-08";-11.0291911273625;204.017026711436;11.0291911273625;-10.3368729174447
2011-09-06 09:00:00;1;24.484;38.248;4.92;214.16818588831;2011;"09";"2011-09";-10.3036396055621;203.864546282748;10.3036396055621;-10.3368729174447
2011-09-13 09:00:00;1;25.153;38.253;4.9;213.339486137195;2011;"09";"2011-09";-11.7450645205845;201.59442161661;11.7450645205845;-10.3368729174447
2011-09-20 09:00:00;1;22.806;38.2325;4.98;216.676950642536;2011;"09";"2011-09";-6.88852359219703;209.788427050339;6.88852359219703;-10.3368729174447
2011-09-27 09:00:00;1;22.877;38.212;5.06;220.165485729878;2011;"09";"2011-09";-10.6055750488147;209.559910681063;10.6055750488147;-10.3368729174447
2011-10-04 09:00:00;1;21.195;38.223;5.04;219.191091101008;2011;"10";"2011-10";-3.39848319710666;215.792607903901;3.39848319710666;-10.3368729174447
2011-10-11 09:00:00;1;20.2924986319824;38.198;5.25;228.273197982554;2011;"10";"2011-10";-8.93979665895753;219.333401323596;8.93979665895753;-10.3368729174447
2011-10-18 09:00:00;1;19.124;38.1865;5.23;227.336712353824;2011;"10";"2011-10";-3.27987113473969;224.056841219084;3.27987113473969;-10.3368729174447
2011-10-26 09:00:00;1;19.387;38.175;5.23;227.353926658071;2011;"10";"2011-10";-4.35634468607611;222.997581971995;4.35634468607611;-10.3368729174447
2011-11-02 09:00:00;1;18.451;38.225;5.38;233.81059208228;2011;"11";"2011-11";-7.01158680615413;226.799005276126;7.01158680615413;-10.3368729174447
2011-11-10 09:00:00;1;18.607;37.846;5.34;232.146863258754;2011;"11";"2011-11";-5.42662740707928;226.720235851675;5.42662740707928;-10.3368729174447
2011-11-15 09:00:00;1;18.117;38.065;5.31;230.776941331731;2011;"11";"2011-11";-2.31693446760599;228.460006864125;2.31693446760599;-10.3368729174447
