"datetime";"depth";"temperature";"salinity"
1997-10-08;"0";22.58;38.164
1997-10-08;"50";18.018;37.835
1997-10-15;"0";21.444;38.026
1997-10-15;"50";15.199;37.916
1997-10-22;"0";21.096;38.017
1997-10-22;"50";19.436;37.97
1997-10-30;"0";19.463;38.053
1997-10-30;"50";19.1;38.046
1997-11-05;"0";18.347;38.055
1997-11-05;"50";18.265;38.056
1997-11-13;"0";17.466;37.836
1997-11-13;"50";17.478;38.045
1997-11-19;"0";17.524;37.923
1997-11-19;"50";17.525;37.928
1997-11-26;"0";16.964;37.946
1997-11-26;"50";16.991;37.97
1997-12-04;"0";16.401;37.968
1997-12-04;"50";16.407;37.969
1997-12-10;"0";16.229;37.946
1997-12-10;"50";16.237;37.941
1997-12-17;"0";15.776;37.93
1997-12-17;"50";15.809;37.934
1997-12-23;"0";15.017;37.362
1997-12-23;"50";15.431;37.903
1997-12-30;"0";15.289;37.826
1997-12-30;"50";15.287;37.824
1998-01-07;"0";15.125;37.847
1998-01-07;"50";15.139;37.853
1998-01-14;"0";14.777;37.74
1998-01-14;"50";14.867;37.778
1998-01-21;"0";14.486;37.876
1998-01-21;"50";14.484;37.877
1998-01-28;"0";14.217;37.916
1998-01-28;"50";14.252;37.921
1998-02-04;"0";14.137;37.919
1998-02-04;"50";14.145;37.929
1998-02-11;"0";13.935;37.924
1998-02-11;"50";13.93;37.931
1998-02-18;"0";13.887;37.802
1998-02-18;"50";13.916;37.921
1998-02-25;"0";13.991;37.878
1998-02-25;"50";13.993;37.881
1998-03-04;"0";14.171;37.859
1998-03-04;"50";14.011;37.903
1998-03-11;"0";13.947;37.901
1998-03-11;"50";13.859;37.933
1998-03-18;"0";14.194;37.882
1998-03-18;"50";13.867;37.925
1998-03-25;"0";13.959;37.909
1998-03-25;"50";13.934;37.91
1998-04-01;"0";14.281;37.928
1998-04-01;"50";13.809;37.932
1998-04-08;"0";13.864;37.912
1998-04-08;"50";13.685;37.979
1998-04-15;"0";13.47;37.891
1998-04-15;"50";13.595;38.002
1998-04-22;"0";15.294;37.867
1998-04-22;"50";13.975;37.845
1998-04-29;"0";15.384;37.539
1998-04-29;"50";14.051;37.856
1998-05-06;"0";15.726;37.332
1998-05-06;"50";14.35;37.81
1998-05-13;"0";18.158;37.451
1998-05-13;"50";14.278;37.85
1998-05-20;"0";19.121;37.528
1998-05-20;"50";14.684;37.874
1998-05-27;"0";19.475;37.617
1998-05-27;"50";14.486;37.923
1998-06-03;"0";19.734;37.307
1998-06-03;"50";14.984;37.889
1998-06-10;"0";21.749;37.739
1998-06-10;"50";15.145;37.878
1998-06-17;"0";20.251;37.777
1998-06-17;"50";14.605;37.895
1998-06-24;"0";22.381;37.744
1998-06-24;"50";15.158;37.88
1998-07-01;"0";24.132;37.797
1998-07-01;"50";15.227;37.879
1998-07-08;"0";22.398;37.87
1998-07-08;"50";14.603;37.913
1998-07-15;"0";23.777;37.984
1998-07-15;"50";16.097;37.88
1998-07-22;"0";24.76;37.998
1998-07-22;"50";15.087;37.907
1998-07-29;"0";25.483;38.034
1998-07-29;"50";15.675;37.903
1998-08-05;"0";24.71;38.016
1998-08-05;"50";15.955;37.945
1998-08-12;"0";25.386;38.082
1998-08-12;"50";15.174;37.936
1998-08-19;"0";25.116;38.146
1998-08-19;"50";15.834;37.92
1998-08-26;"0";25.898;38.074
1998-08-26;"50";15.396;37.918
1998-09-02;"0";24.314;38.151
1998-09-02;"50";15.822;37.912
1998-09-09;"0";23.687;38.039
1998-09-09;"50";15.913;37.908
1998-09-17;"0";21.941;38.052
1998-09-17;"50";14.966;37.934
1998-09-23;"0";21.92;38.112
1998-09-23;"50";15.865;37.91
1998-10-01;"0";20.474;37.59
1998-10-01;"50";20.022;38.092
1998-10-07;"0";20.093;37.843
1998-10-07;"50";17.784;37.966
1998-10-14;"0";19.509;37.784
1998-10-14;"50";18.27;37.936
1998-10-21;"0";19.376;37.812
1998-10-21;"50";18.976;37.935
1998-10-30;"0";18.615;37.98
1998-10-30;"50";16.846;37.964
1998-11-06;"0";18.082;37.951
1998-11-06;"50";16.411;37.951
1998-11-12;"0";17.74;38.02
1998-11-12;"50";17.75;38.056
1998-11-18;"0";16.984;38.047
1998-11-18;"50";17.013;38.045
