"datetime";"PROF_NUM";"T";"S";"O";"oxy_umol_kg"
2003-10-22 09:00:00;50;17.095;38.137;5.54;240.700550626724
2003-10-22 09:00:00;1;18.19;38.13;5.09;221.208803282642
2003-10-28 09:00:00;50;17.841;38.169;5.56;241.607064460217
2003-10-28 09:00:00;1;17.945;38.17;5.72;248.565908948405
2003-11-04 09:00:00;50;17.112;38.039;5.41;235.070519913293
2003-11-04 09:00:00;1;17.058;37.975;5.43;235.94781670864
2003-11-12 09:00:00;50;16.859;38.067;5.41;235.051546990823
2003-11-12 09:00:00;1;16.834;38.058;4.33;188.128294186044
2003-11-18 09:00:00;50;16.693;38.071;5.32;231.131573865111
2003-11-18 09:00:00;1;16.589;38.015;5.21;226.356534781636
2003-11-25 09:00:00;50;16.804;38.026;5.41;235.055721609113
2003-11-25 09:00:00;1;16.77;38.013;5.21;226.366443617661
2003-12-05 09:00:00;50;16.555;37.973;5.4;234.616901546113
2003-12-05 09:00:00;1;16.496;37.965;4.87;211.588055957478
2003-12-08 09:00:00;50;16.509;37.994;5.36;232.872848669704
2003-12-08 09:00:00;1;16.498;37.996;5.11;222.010342759065
2003-12-17 09:00:00;50;16.045;37.996;5.36;232.847638320482
2003-12-17 09:00:00;1;16.038;37.983;4.74;205.915447303251
2003-12-22 09:00:00;50;15.738;38.02;NA;NA
2003-12-22 09:00:00;1;15.756;38.01;NA;NA
2003-12-29 09:00:00;50;14.989;38.083;NA;NA
2003-12-29 09:00:00;1;15.091;NA;NA;NA
2004-01-06 09:00:00;50;14.717;38.043;5.44;236.244867921289
2004-01-06 09:00:00;1;14.663;37.986;5.33;231.47507068822
2004-01-16 09:00:00;50;14.328;38.052;5.57;241.868572361273
2004-01-16 09:00:00;1;14.301;38.028;5.55;241.003068274454
2004-01-20 09:00:00;50;14.07;38.064;5.74;249.234674742964
2004-01-20 09:00:00;1;14.053;38.056;5.72;248.366866693232
2004-01-30 09:00:00;50;13.718;38.072;5.57;241.833887196687
2004-01-30 09:00:00;1;13.71;38.064;5.41;234.888157888134
2004-02-03 09:00:00;50;13.606;38.104;NA;NA
2004-02-03 09:00:00;1;13.578;38.079;NA;NA
2004-02-10 09:00:00;50;13.375;38.13;5.46;237.030868402954
2004-02-10 09:00:00;1;13.446;38.144;5.47;237.465942254809
2004-02-17 09:00:00;50;13.395;38.106;5.6;243.113976405673
2004-02-17 09:00:00;1;13.388;38.097;5.63;244.417680292018
2004-02-25 09:00:00;50;13.343;38.124;5.53;240.069239973965
2004-02-25 09:00:00;1;13.317;38.112;5.47;237.465397257222
2004-03-02 09:00:00;50;13.154;38.13;5.53;240.058918280471
2004-03-02 09:00:00;1;13.153;38.129;5.52;239.624947488863
2004-03-09 09:00:00;50;13.036;38.143;NA;NA
2004-03-09 09:00:00;1;13.011;38.114;NA;NA
2004-03-17 09:00:00;50;13.017;38.118;5.64;244.829488704078
2004-03-17 09:00:00;1;13.227;38.1;5.81;252.223243599575
2004-03-22 09:00:00;50;13.142;38.041;5.52;239.640316528099
2004-03-22 09:00:00;1;13.52;37.947;5.62;244.017739144551
2004-03-31 09:00:00;50;13.174;38.124;5.52;239.626871424773
2004-03-31 09:00:00;1;13.072;37.873;5.48;237.930575355641
2004-04-06 09:00:00;50;13.223;37.991;5.72;248.336378399842
2004-04-06 09:00:00;1;13.54;37.824;5.9;256.200004881493
2004-04-14 09:00:00;50;13.348;38.024;5.72;248.336522871673
2004-04-14 09:00:00;1;13.834;37.833;5.83;253.174036396546
2004-04-21 09:00:00;50;13.49;38.08;5.74;249.201567884837
2004-04-21 09:00:00;1;14.112;37.912;5.84;253.60799744038
2004-04-28 09:00:00;50;13.639;38.063;5.8;251.817428886225
2004-04-28 09:00:00;1;15.067;37.949;5.83;253.218744582465
2004-05-04 09:00:00;50;14.379;37.968;5.71;247.966217455174
2004-05-04 09:00:00;1;14.96;37.812;5.68;246.723290263929
2004-05-11 09:00:00;50;14.389;38.021;5.71;247.956862971678
2004-05-11 09:00:00;1;15.779;37.753;5.65;245.475650042516
2004-05-18 09:00:00;50;14.42;38.012;5.69;247.091672378885
2004-05-18 09:00:00;1;17.049;37.562;5.76;250.363989102526
2004-05-25 09:00:00;50;14.325;38.065;NA;NA
2004-05-25 09:00:00;1;17.719;37.388;NA;NA
2004-06-01 09:00:00;50;14.405;38.097;NA;NA
2004-06-01 09:00:00;1;19.095;37.756;NA;NA
2004-06-08 09:00:00;50;14.588;38.09;NA;NA
2004-06-08 09:00:00;1;20.615;37.798;NA;NA
2004-06-15 09:00:00;50;14.992;38.072;5.81;252.322608875398
2004-06-15 09:00:00;1;19.791;37.88;5.46;237.42915056279
2004-06-22 09:00:00;50;14.024;38.102;5.94;257.908933907464
2004-06-22 09:00:00;1;20.379;37.931;5.12;222.670003202649
2004-06-29 09:00:00;50;14.558;38.064;5.83;253.168853457031
2004-06-29 09:00:00;1;23.249;37.996;5.21;226.752466350827
2004-07-06 09:00:00;50;14.823;38.07;5.89;255.787877948555
2004-07-06 09:00:00;1;24.273;37.968;5.05;219.858866799775
2004-07-13 09:00:00;50;NA;NA;NA;NA
2004-07-13 09:00:00;1;NA;NA;NA;NA
2004-07-20 09:00:00;50;NA;NA;6.03;NA
2004-07-20 09:00:00;1;NA;NA;5.12;NA
2004-07-27 09:00:00;50;NA;NA;5.88;NA
2004-07-27 09:00:00;1;25.498;NA;5.1;NA
2004-08-03 09:00:00;50;15.03;38.068;6.02;261.445666452354
2004-08-03 09:00:00;1;25.12;38.208;4.94;215.086036001592
2004-08-10 09:00:00;50;15.333;37.988;6.08;264.08495251903
2004-08-10 09:00:00;1;25.404;38.236;4.81;209.439539796594
2004-08-17 09:00:00;50;14.987;37.995;5.9;256.245760011035
2004-08-17 09:00:00;1;25.051;38.252;4.92;214.203834874201
2004-08-24 09:00:00;50;14.217;38.084;5.83;253.146597282899
2004-08-24 09:00:00;1;24.685;38.292;4.94;215.044653916081
2004-08-31 09:00:00;50;14.494;38.046;5.81;252.3002940578
2004-08-31 09:00:00;1;24.286;38.266;4.96;215.893871906647
2004-09-07 09:00:00;50;15.347;38.057;6.09;264.506426008724
2004-09-07 09:00:00;1;24.5;38.31;4.86;211.547694108514
2004-09-14 09:00:00;50;14.997;38.099;6.11;265.346224485154
2004-09-14 09:00:00;1;24.016;38.341;4.73;205.854904045999
2004-09-21 09:00:00;50;15.565;38.161;6.08;264.064336190315
2004-09-21 09:00:00;1;23.148;38.331;4.99;217.117379527036
2004-09-28 09:00:00;50;14.635;38.07;5.86;254.474684879482
2004-09-28 09:00:00;1;22.306;38.293;5.03;218.811782432882
2004-10-05 09:00:00;50;15.613;38.104;6.22;270.159225883433
2004-10-05 09:00:00;1;22.027;38.31;5.13;223.141748332026
2004-10-12 09:00:00;50;NA;NA;6.26;NA
2004-10-12 09:00:00;1;NA;NA;5.08;NA
2004-10-20 09:00:00;50;16.057;38.082;NA;NA
2004-10-20 09:00:00;1;19.785;38.283;NA;NA
2004-11-02 09:00:00;50;19.819;38.237;5.16;224.325615705364
2004-11-02 09:00:00;1;19.413;38.018;5.13;223.034378702787
2004-11-09 09:00:00;50;19.442;38.156;5.07;220.404777666655
2004-11-09 09:00:00;1;19.583;38.162;5.11;222.150741445931
2004-11-16 09:00:00;50;NA;NA;5.32;NA
2004-11-16 09:00:00;1;NA;NA;5.31;NA
2004-11-23 09:00:00;50;16.709;38.169;5.31;230.681057793016
2004-11-23 09:00:00;1;17.445;38.158;5.29;229.854212894548
2004-11-30 09:00:00;50;17.231;38.194;5.38;233.746509529011
2004-11-30 09:00:00;1;16.826;38.031;5.4;234.621571670284
2004-12-07 09:00:00;50;16.451;38.15;5.69;247.177967434905
2004-12-07 09:00:00;1;16.689;38.149;6.38;277.167663672958
2004-12-14 09:00:00;50;16.174;38.147;5.39;234.1313052588
2004-12-14 09:00:00;1;16.164;38.144;5.19;225.443676855762
2004-12-21 09:00:00;50;15.915;38.142;5.4;234.552694388358
2004-12-21 09:00:00;1;15.895;38.138;5.44;236.289757042258
2004-12-28 09:00:00;50;15.449;38.097;NA;NA
2004-12-28 09:00:00;1;15.41;38.092;NA;NA
2005-01-04 09:00:00;50;15.056;38.101;5.41;234.949181661547
2005-01-04 09:00:00;1;15.05;38.083;5.49;238.426385294513
2005-01-11 09:00:00;50;14.804;38.061;5.51;239.286063704749
2005-01-11 09:00:00;1;14.779;38.062;5.53;240.153130789638
2005-01-21 09:00:00;50;14.39;38.059;5.64;244.910164544812
2005-01-21 09:00:00;1;14.391;38.053;5.56;241.437402565732
2005-01-25 09:00:00;50;NA;NA;5.73;NA
2005-01-25 09:00:00;1;NA;NA;5.7;NA
2005-02-01 09:00:00;50;13.48;38.157;5.49;238.333521352168
2005-02-01 09:00:00;1;13.463;38.143;5.47;237.466950600443
