"datetime";"temp_eol_c";"sal_eol_psu";"oxy_umol_kg";"Year";"Month";"Year.Month";"Year.Month.Day";"dMonth";"Hour";"NB_OBS_DAY"
2021-04-30;15.0641333333333;37.78685;262.764848012518;"2021";"04";"2021-04";"2021-04-30";30;"09:00:00";2
2021-04-30;15.4949666666667;37.95195;266.431088654973;"2021";"04";"2021-04";"2021-04-30";30;"16:00:00";2
2021-05-01;15.3675666666667;37.90265;261.489367230935;"2021";"05";"2021-05";"2021-05-01";31;"09:00:00";2
2021-05-01;15.4777166666667;37.8022333333333;267.76724873382;"2021";"05";"2021-05";"2021-05-01";31;"16:00:00";2
2021-05-02;15.10905;37.88695;267.084744841674;"2021";"05";"2021-05";"2021-05-02";31;"09:00:00";2
2021-05-02;15.444;37.94045;267.126047101357;"2021";"05";"2021-05";"2021-05-02";31;"16:00:00";2
2021-05-03;15.1099166666667;37.9497666666667;265.215724910151;"2021";"05";"2021-05";"2021-05-03";31;"09:00:00";2
2021-05-03;15.5615;37.7169833333333;265.045711047773;"2021";"05";"2021-05";"2021-05-03";31;"16:00:00";2
2021-05-04;15.5732666666667;37.7632166666667;265.979241627881;"2021";"05";"2021-05";"2021-05-04";31;"09:00:00";2
2021-05-04;15.97395;37.7635;265.050601210215;"2021";"05";"2021-05";"2021-05-04";31;"16:00:00";2
2021-05-05;15.6544666666667;37.815;265.347730537278;"2021";"05";"2021-05";"2021-05-05";31;"09:00:00";2
2021-05-05;15.9027833333333;37.8345833333333;265.890553809113;"2021";"05";"2021-05";"2021-05-05";31;"16:00:00";2
2021-05-06;15.6147333333333;37.8796;266.465974610414;"2021";"05";"2021-05";"2021-05-06";31;"09:00:00";2
2021-05-06;15.7186;37.8874;265.315441510152;"2021";"05";"2021-05";"2021-05-06";31;"16:00:00";2
2021-05-07;15.1134333333333;37.9078833333333;262.79328345443;"2021";"05";"2021-05";"2021-05-07";31;"09:00:00";2
2021-05-07;15.4761;37.923;262.119621879821;"2021";"05";"2021-05";"2021-05-07";31;"16:00:00";2
2021-05-08;15.0412333333333;37.9558;260.452667853085;"2021";"05";"2021-05";"2021-05-08";31;"09:00:00";2
2021-05-08;14.88805;38.0128666666667;261.123721429767;"2021";"05";"2021-05";"2021-05-08";31;"16:00:00";2
2021-05-09;15.0551833333333;38.0060166666667;260.339019476345;"2021";"05";"2021-05";"2021-05-09";31;"09:00:00";2
2021-05-09;15.4771166666667;38.00525;261.611915120523;"2021";"05";"2021-05";"2021-05-09";31;"16:00:00";2
2021-05-10;15.5924833333333;37.9881666666667;260.587448942174;"2021";"05";"2021-05";"2021-05-10";31;"09:00:00";2
2021-05-10;15.7264333333333;37.9823833333333;261.620510121432;"2021";"05";"2021-05";"2021-05-10";31;"16:00:00";2
2021-05-11;16.1678166666667;37.8833333333333;257.358402998714;"2021";"05";"2021-05";"2021-05-11";31;"09:00:00";2
2021-05-11;16.3914833333333;37.8234;259.298302023797;"2021";"05";"2021-05";"2021-05-11";31;"16:00:00";2
2021-05-12;16.26845;37.8951166666667;261.392147325369;"2021";"05";"2021-05";"2021-05-12";31;"09:00:00";2
2021-05-12;16.6047;37.8974;261.045977700877;"2021";"05";"2021-05";"2021-05-12";31;"16:00:00";2
